property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,shopping_center_id,distance_to_sc,train_station_id,distance_to_train_station,travel_min_to_CBD,transfer_flag,hospital_id,distance_to_hospital,supermarket_id,distance_to_supermaket
86423.0,-37.914938,144.997815,25 Male Street,BRIGHTON,3120000.0,house,2016,4.0,2.0,2.0,SC_015,4626,19951,169,22,0,hospital_156,754,S_009,232
32750.0,-37.73621,145.016462,40 Murphy Grove,PRESTON,13770000.0,house,2009,4.0,2.0,1.0,SC_047,1557,20011,1681,29,0,hospital_035,2617,S_084,1518
30810.0,-37.76339722,145.0077515,16/6 Francis Grove,THORNBURY,3420000.0,house,2009,1.0,1.0,1.0,SC_103,2265,20015,1192,21,0,hospital_035,45,S_105,1214
85492.0,-37.892097,145.008044,3 Clarence Street,ELSTERNWICK,27540000.0,house,2016,4.0,2.0,2.0,SC_015,3716,19953,601,19,0,hospital_116,616,S_193,517
85785.0,-37.879283,145.003582,65 St Georges Road,ELSTERNWICK,19300000.0,house,2012,5.0,2.0,2.0,SC_015,2722,19954,581,16,0,hospital_116,857,S_193,753
55232.0,-37.836854,145.093835,2 Webster Street,CAMBERWELL,8007000.0,house,2016,4.0,3.0,2.0,SC_020,3547,19894,1283,30,0,hospital_089,1878,S_160,2547
67526.0,-37.770527,145.365413,5 Karabec Place,LILYDALE,3222000.0,house,2013,3.0,2.0,2.0,SC_084,5841,19876,2402,59,0,hospital_113,1418,S_081,2012
77861.0,-37.92947769,145.1526032,3 Albert Crescent,MULGRAVE,3735000.0,house,2009,3.0,2.0,1.0,SC_073,4275,19914,1740,41,0,hospital_065,3586,S_075,2195
72786.0,-37.86288452,145.2777863,1/6 Narcissus Avenue,BORONIA,10120000.0,house,2009,2.0,1.0,1.0,SC_049,4450,19869,767,29,0,hospital_049,548,S_024,764
76611.0,-37.921462,145.11301,16 Ormond Road,CLAYTON,8560000.0,house,2016,4.0,2.0,1.0,SC_087,4618,19915,887,38,0,hospital_083,828,S_169,746
7811.0,-37.781972,144.796973,260 Forrest Street,ARDEER,4851000.0,house,2012,4.0,1.0,1.0,SC_102,4074,20003,2630,31,0,hospital_057,2761,S_130,1744
49891.0,-37.761751,145.085451,13 Mangan Street,BULLEEN,14040000.0,house,2015,3.0,2.0,2.0,SC_009,802,19936,2754,27,0,hospital_004,2673,S_154,760
3785.0,-37.81456375,144.8886566,69 Castlemaine Street,YARRAVILLE,6252000.0,house,2007,2.0,1.0,0.0,SC_043,3571,19996,184,15,0,hospital_056,1970,S_201,1633
1405.0,-37.80304337,144.8870239,75 Alexander Street,SEDDON,4380000.0,house,2009,2.0,1.0,0.0,SC_085,2707,20023,220,19,0,hospital_056,907,S_201,1240
48432.0,-37.794566,145.031513,40 Duke Street,KEW,14420000.0,house,2014,3.0,2.0,2.0,SC_083,2406,19931,1475,20,0,hospital_029,968,S_039,1023
84615.0,-37.87939,144.989244,12 Rothesay Avenue,ELWOOD,13400000.0,house,2016,2.0,1.0,0.0,SC_015,1361,19955,738,15,0,hospital_087,1739,S_133,717
78768.0,-37.957625,145.155861,2 Jobert Court,SPRINGVALE,3496000.0,house,2013,3.0,1.0,2.0,SC_057,3750,19891,782,45,0,hospital_124,2755,S_075,606
7966.0,-37.74937,144.74507499999999,1 Flemming Avenue,BURNSIDE,6513000.0,house,2016,4.0,2.0,2.0,SC_048,1543,20000,5452,39,0,hospital_057,7794,S_156,1046
50383.0,-37.764191,145.099242,72 Swanston Street,BULLEEN,13580000.0,house,2016,3.0,2.0,2.0,SC_009,826,19936,4166,27,0,hospital_193,1956,S_154,932
30660.0,-37.760606,145.008936,124 Clarendon Street,THORNBURY,10650000.0,house,2009,2.0,1.0,2.0,SC_103,2068,20014,1260,23,0,hospital_035,242,S_105,1051
48147.0,-37.801445,145.027475,24 Barry Street,KEW,25950000.0,house,2012,3.0,2.0,2.0,SC_083,1956,19905,1927,19,0,hospital_029,1164,S_039,549
37344.0,-37.64216232,145.0568085,361 Findon Rd,EPPING,2608000.0,house,2009,3.0,2.0,2.0,SC_062,3310,45795,1304,45,0,hospital_041,4551,S_083,2072
75013.0,-37.900415,145.054766,303a Koornang Road,CARNEGIE,5967000.0,house,2010,2.0,1.0,1.0,SC_041,1493,19920,1361,27,0,hospital_159,2403,S_015,1176
84759.0,-37.875014,144.985329,20 Southey Street,ELWOOD,26560000.0,house,2011,3.0,1.0,2.0,SC_015,772,19956,1040,13,0,hospital_103,1492,S_133,873
88168.0,-37.94451141,145.0505219,26 Gavin Street,MOORABBIN,4008000.0,house,2008,3.0,1.0,1.0,SC_079,1133,19872,1026,39,0,hospital_082,1614,S_069,1133
96282.0,-37.919306,145.040276,85 Robert Street,BENTLEIGH,12220000.0,house,2010,3.0,1.0,2.0,SC_046,1854,19939,403,37,0,hospital_110,1312,S_107,204
81251.0,-37.98430252,145.2280579,4 Irene Court,DANDENONG,8775000.0,house,2007,5.0,2.0,2.0,SC_112,1468,19888,2105,53,0,hospital_119,1015,S_184,1307
38639.0,-37.768002,145.03542,15 Shaw Street,IVANHOE,21150000.0,house,2016,3.0,1.0,2.0,SC_001,709,19932,720,21,0,hospital_039,667,S_219,701
48118.0,-37.807868,145.014233,22 Laver Street,KEW,25480000.0,house,2014,3.0,2.0,2.0,SC_083,2640,19905,1597,19,0,hospital_032,260,S_039,1866
53979.0,-37.828024,145.040804,1/28 Belgrave Street,HAWTHORN,4360000.0,house,2016,3.0,2.0,2.0,SC_083,901,19903,760,22,0,hospital_127,735,S_208,945
